Lazy,Over,six,Cochabamba,El_Alto,La_Paz,Oruro,Santa_Cruz,Shocks,Manufacture,Commerce,Services,Individual,Consumption,Groups,Village,Others,Loan_Term,Lenders,Years_with_new_loans,First_timer,Cohort_1997,Cohort_1998,Cohort_1999,Cohort_2000,Default_First,Number_Potential_Workers,Age_Main_Income_Source,Education_Average,Diversification,Savings,Migrants,Female_Main_Person,Commercial,Assets,cruzados,Shocks_97,Shocks_98,Shocks_99,Shocks_00,Shocks_01,cuest
0.0,1.0,B,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1.0,3,1,1,0,0,1,0,1,4,33.0,6.5,1.0,0,0.0,1,0,0.15418503,0,0,0,1,1,0,51
0.0,1.0,B,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1.25,1,1,1,0,0,0,1,0,3,45.0,14.5,1.5,1,0.0,0,1,1.2268723,0,0,0,0,0,0,52
1.0,1.0,E,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,1,3,0,0,0,1,0,0,3,38.0,7.6666665,2.0,1,1.0,0,0,1.5349486,0,0,0,1,1,1,53
1.0,1.0,E,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1.0,1,2,0,0,0,1,0,0,6,48.0,14.333333,1.125,0,0.0,0,0,0.19823791,0,0,0,1,1,1,54
,0.0,A,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1.0,1,2,0,0,1,0,0,0,5,41.0,10.2,2.0,0,0.0,0,1,0.504185,0,0,0,0,1,1,55
0.0,1.0,C,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.020833334,1,1,1,0,0,1,0,0,3,58.0,7.6666665,2.0,1,0.0,1,0,1.5202644,0,0,0,1,0,0,57
0.0,1.0,B,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1.1666666,1,4,0,1,0,0,0,0,4,64.0,12.0,1.5,0,0.0,0,0,0.25292218,0,0,0,1,1,1,58
0.0,1.0,C,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.25,1,1,1,1,0,0,0,0,7,49.0,8.0,1.5,0,1.0,1,0,0.16152716,0,0,1,0,0,0,59
1.0,1.0,E,0,0,1,0,0,1,1,0,0,0,1,0,0,0,3.0,1,1,1,0,1,0,0,0,2,35.0,5.0,1.5,0,0.0,0,0,0.5433186,0,0,0,1,0,1,60
0.0,1.0,B,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.8333333,1,1,1,0,0,1,0,0,2,37.0,15.0,1.0,0,0.0,0,0,1.5158591,0,0,0,1,1,0,61
0.0,1.0,B,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1.0,1,1,1,0,0,0,0,0,2,37.0,15.0,1.0,0,0.0,0,0,1.5158591,0,0,0,0,0,1,61
0.0,1.0,B,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1.0,1,1,1,0,0,1,0,0,8,55.0,9.6,3.5,0,1.0,0,0,0.03671072,0,0,0,0,1,0,62
,0.0,A,0,0,1,0,0,1,0,1,0,0,1,0,0,0,3.0,1,1,1,0,1,0,0,0,1,53.0,12.0,0.5,0,0.0,1,1,0.45837006,0,0,0,1,0,1,63
0.0,1.0,B,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1.0,1,1,1,0,0,0,1,0,4,38.0,5.5,1.0,0,0.0,0,0,0.08810573,0,0,0,0,0,1,64
0.0,1.0,C,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.8333333,1,2,0,0,0,0,1,0,6,58.0,9.0,1.25,0,0.0,1,0,0.096182086,0,0,0,0,1,1,65
0.0,1.0,B,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0.6666667,1,5,0,1,0,0,0,0,4,36.0,8.5,1.0,0,0.0,0,0,0.045521293,0,0,0,0,0,1,66
0.0,1.0,B,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1.0,2,1,0,0,0,0,1,1,6,64.5,9.0,1.0,0,0.0,0,0,0.21453744,0,0,0,0,1,1,67
0.0,1.0,B,0,0,1,0,0,1,0,1,0,1,0,0,0,0,4.0,2,3,0,1,0,0,0,0,6,64.5,9.0,1.0,0,0.0,0,0,0.21453744,0,1,0,0,1,1,67
